Machine Learning/Deep Learning,R Language,Python Developer,NLP,Java Developer,Cloud Engineering,Devops,Database Engineer
forecasting,r,python,nlp,java,AWS,Docker,Spark
markov chain,ggplot,flask,natural language processing,Spring,Amazon Web Services,Kubernetes,Flink
monte carlo,shiny,django,topic modeling,Spring Boot,Google Cloud Platform,Linux,Kafka
xgboost,cran,pandas,spacy,Hibernate,DynamoDB,Shell Scripting,Elasticsearch
svm,Shogun,numpy,doc2vec,Maven,Amazon Lex,Gitlab,PostgreSQL/Redshift
decision trees,Theano,scikitlearn,chat bot,Gradle,Lamba,Jenkis,Airflow
tensorflow,Torch,sklean,sentiment analysis,Jhipster,Cloud Computing,ELK Stack,MySQL
keras,Caffe,sci-py,Dynet,Vaadin,Cloud Servic Models,Prometheus,MongoDB
pytorch,Syberia,matplotlib,Keras,Play,Deployment Model,Maven,ASP.NET MVC
neural network,,bokeh,Nlpnet,Struts,Microsoft Azure,Redis,IBM Db2 Family
Sonnet,,statsmodel,Pytorch,Google Web Toolkit,Xen,Celery,SAP Hana
MXNet,,koa,SpaCy,OOP,KVM,Puppet,Redis
Gluon,,OOP,Tensorflow,JDBC,Vmware,Chef,Toad
Swift,,,,,,,Teradata
Chainer,,,,,,,Neo4j
DL4j,,,,,,,OrientDB
ONNX,,,,,,,Cloudera
Caffe,,,,,,,MariaDB
Sckit-Learn,,,,,,,
Apache Spark,,,,,,,
